,STOP_ID_ANONY,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR
2007,2008,CRIMINAL TRESPASS,N,Y,N,N,N,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),16,MALE,WHITE HISPANIC,5.6,150,THN,BRO,BLK
2008,2009,CRIMINAL TRESPASS,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),16,MALE,WHITE HISPANIC,5.8,175,MED,BRO,BLK
2009,2010,CPW,Y,Y,Y,N,N,N,(null),Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),21,MALE,WHITE HISPANIC,5.2,130,THN,BRO,BRO
2010,2011,ASSAULT,N,N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,23,MALE,BLACK,5.9,160,MED,BRO,BLK
2011,2012,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),25,MALE,BLACK,6.5,200,MED,BRO,BRO
2012,2013,GRAND LARCENY,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,51,MALE,WHITE HISPANIC,6,180,MED,BLK,GRY
2013,2014,GRAND LARCENY,N,Y,Y,(,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),42,MALE,WHITE HISPANIC,6.1,180,U,BLK,BLK
2014,2015,ASSAULT,N,Y,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,19,MALE,WHITE HISPANIC,6,170,MED,BRO,BRO
2015,2016,PETIT LARCENY,Y,N,Y,N,(,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,29,FEMALE,WHITE,5.6,130,MED,HAZ,BLK
2016,2017,PETIT LARCENY,Y,Y,N,(,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,29,FEMALE,WHITE,5.6,150,MED,HAZ,BLK
2017,2018,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,23,MALE,BLACK,5.1,160,THN,BRO,BLK
2018,2019,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,23,MALE,WHITE HISPANIC,5.1,160,THN,BRO,XXX
2019,2020,CPW,N,Y,Y,N,Y,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),19,MALE,WHITE HISPANIC,5.8,220,HEA,BLK,BLK
2020,2021,ASSAULT,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),(null),16,MALE,WHITE HISPANIC,5.5,120,MED,BRO,BLK
2021,2022,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,12,MALE,WHITE HISPANIC,5.4,120,THN,BRO,BLK
2022,2023,CPW,N,Y,Y,N,Y,Y,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),Y,(null),28,MALE,BLACK HISPANIC,5.1,170,THN,BRO,BLK
2023,2024,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),31,MALE,BLACK,5.1,250,HEA,BRO,BLD
2024,2025,CPW,N,Y,Y,Y,Y,N,(null),Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),33,MALE,BLACK,5.11,200,MED,BRO,BLK
2025,2026,CPW,Y,Y,N,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),44,MALE,BLACK,5.6,180,U,BRO,BLD
2026,2027,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),45,MALE,BLACK,6,200,MED,BRO,BLD
2027,2028,CPW,N,Y,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,35,MALE,BLACK HISPANIC,5.1,185,MED,ZZZ,BRO
2028,2029,CPW,Y,Y,Y,Y,Y,Y,(null),Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),20,MALE,WHITE HISPANIC,6,170,THN,BRO,BLK
2029,2030,BURGLARY,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),44,MALE,BLACK,6.2,180,MED,BRO,BLK
2030,2031,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),Y,Y,25,MALE,BLACK,5.8,200,MED,ZZZ,BLK
2031,2032,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,38,MALE,BLACK,5.1,200,HEA,BRO,BLK
2032,2033,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),17,MALE,BLACK,5.8,150,THN,BRO,BLK
2033,2034,ROBBERY,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),Y,18,MALE,BLACK,5.8,130,THN,BRO,BLK
2034,2035,ROBBERY,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),Y,17,MALE,BLACK,5.7,125,THN,BRO,BLK
2035,2036,ROBBERY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),32,MALE,WHITE HISPANIC,5.1,170,THN,BRO,BLK
2036,2037,CPW,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),Y,24,MALE,BLACK,5.11,175,THN,BRO,BLK
2037,2038,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),(null),24,MALE,BLACK HISPANIC,6.1,215,HEA,BRO,BLK
2038,2039,CPW,N,Y,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,18,MALE,WHITE HISPANIC,5.7,150,THN,BRO,BRO
2039,2040,CPW,N,Y,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,18,MALE,WHITE HISPANIC,6,190,MED,BRO,BRO
2040,2041,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,18,MALE,BLACK,5.9,140,THN,BRO,BLK
2041,2042,ROBBERY,N,Y,Y,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,18,MALE,BLACK,5.8,150,THN,BRO,BLK
2042,2043,ROBBERY,N,N,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,28,MALE,BLACK HISPANIC,5.9,160,THN,BRO,BLK
2043,2044,ROBBERY,N,N,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,41,MALE,WHITE HISPANIC,5.9,175,THN,BRO,XXX
2044,2045,ROBBERY,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,45,MALE,BLACK HISPANIC,6.2,200,U,BRO,BRO
2045,2046,CPW,Y,Y,Y,N,N,Y,(null),Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),34,MALE,BLACK HISPANIC,5.8,150,THN,HAZ,RED
2046,2047,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),Y,(null),17,MALE,BLACK,5.9,180,MED,BRO,BLK
2047,2048,CRIMINAL TRESPASS,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),21,FEMALE,BLACK HISPANIC,5.3,160,HEA,BLK,BLK
2048,2049,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),15,MALE,BLACK,5.1,160,THN,BRO,BLK
2049,2050,GRAND LARCENY,N,N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),45,MALE,WHITE HISPANIC,5.6,180,MED,ZZZ,BLK
2050,2051,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,21,MALE,BLACK,5.1,190,MED,BRO,BLK
2051,2052,OTHER,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,36,MALE,BLACK,6.4,240,MED,BRO,BLD
2052,2053,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,21,MALE,WHITE HISPANIC,6.2,160,THN,BRO,BRO
2053,2054,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),55,MALE,BLACK,5.1,170,MED,BRO,BLD
2054,2055,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),30,MALE,WHITE HISPANIC,5.9,210,THN,BRO,BLK
2055,2056,ROBBERY,Y,Y,Y,N,N,N,Y,(null),(null),Y,(null),(null),Y,(null),(null),(null),(null),Y,17,MALE,BLACK HISPANIC,5.1,220,HEA,BRO,BRO
2056,2057,CPW,N,Y,Y,N,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),72,MALE,BLACK HISPANIC,5.9,170,THN,BRO,BLD
2057,2058,PETIT LARCENY,N,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,40,FEMALE,WHITE,5.7,140,THN,BRO,BRO
2058,2059,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),18,MALE,BLACK,5.1,150,MED,BRO,BLK
2059,2060,CPW,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),15,MALE,BLACK,6.4,190,THN,BRO,BLK
2060,2061,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),54,MALE,BLACK,5.7,150,THN,BLK,GRY
2061,2062,MURDER,Y,Y,Y,N,N,N,Y,(null),(null),Y,Y,Y,Y,(null),(null),(null),Y,(null),24,MALE,BLACK,5.11,160,MED,BRO,BLK
2062,2063,OTHER,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),16,MALE,BLACK,5.9,160,THN,BRO,BLK
2063,2064,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,Y,(null),(null),(null),(null),Y,(null),(null),21,MALE,BLACK,6,170,THN,BRO,BRO
2064,2065,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,Y,(null),(null),(null),(null),(null),Y,(null),18,MALE,BLACK,6,170,THN,BRO,BRO
2065,2066,OTHER,N,N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),16,MALE,BLACK,5.9,140,THN,BRO,BLK
2066,2067,ROBBERY,N,Y,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,25,MALE,BLACK,5.9,175,MED,BRO,BLK
2067,2068,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,(null),MALE,BLACK,5.1,150,MED,BRO,BLK
2068,2069,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),(null),16,MALE,BLACK,5.1,130,THN,BRO,BRO
2069,2070,CPW,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),Y,(null),Y,Y,14,MALE,BLACK,5.6,130,MED,BRO,BLK
2070,2071,ASSAULT,N,Y,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,BLACK,5.9,180,THN,BRO,BLK
2071,2072,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,15,MALE,BLACK,5.6,125,THN,BRO,BLK
2072,2073,CPW,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),15,MALE,BLACK,5.6,110,THN,BRO,BLK
2073,2074,ROBBERY,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,18,MALE,BLACK,5.8,150,THN,BRO,BLK
2074,2075,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,Y,(null),(null),(null),(null),(null),(null),(null),17,MALE,WHITE HISPANIC,5.1,160,THN,BRO,BRO
2075,2076,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,Y,Y,Y,(null),(null),(null),(null),Y,18,MALE,BLACK,5.5,150,MED,BRO,BRO
2076,2077,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,Y,Y,(null),(null),(null),Y,(null),Y,19,MALE,BLACK,5.7,130,THN,BRO,BRO
2077,2078,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,Y,(null),(null),(null),(null),(null),(null),(null),(null),MALE,BLACK HISPANIC,5.1,175,U,BRO,BLK
2078,2079,ROBBERY,N,Y,N,Y,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),28,MALE,BLACK,5.6,185,MED,BRO,BLK
2079,2080,CPW,N,Y,Y,Y,Y,N,(null),Y,(null),Y,(null),Y,Y,(null),(null),(null),(null),Y,41,MALE,BLACK HISPANIC,5.9,210,MED,BRO,BLK
2080,2081,MENACING,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),52,MALE,BLACK,5.7,190,THN,BRO,BLK
2081,2082,ASSAULT,N,Y,N,N,Y,N,(null),(null),(null),N,Y,Y,(null),(null),(null),(null),(null),(null),17,MALE,WHITE HISPANIC,5.8,150,MED,BRO,BLK
2082,2083,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),18,MALE,WHITE HISPANIC,5.8,150,MED,BRO,BLK
2083,2084,CPW,N,Y,N,N,N,Y,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),(null),(null),MALE,WHITE HISPANIC,5.6,150,MED,BRO,BLK
2084,2085,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),(null),29,MALE,BLACK,6.1,180,MED,BRO,BLK
2085,2086,CRIMINAL TRESPASS,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),21,MALE,WHITE HISPANIC,5.7,155,THN,BRO,BLK
2086,2087,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),18,MALE,BLACK HISPANIC,5.7,150,MED,BRO,BLK
2087,2088,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),37,MALE,WHITE HISPANIC,5.8,150,THN,BRO,BRO
2088,2089,CPW,Y,Y,Y,Y,Y,Y,Y,Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),19,MALE,WHITE HISPANIC,5.8,150,MED,GRN,BRO
2089,2090,CPW,Y,Y,Y,Y,Y,Y,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),19,MALE,WHITE,5.6,150,MED,BLK,BLK
2090,2091,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),28,MALE,BLACK,5.8,180,THN,BRO,BLK
2091,2092,CPW,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),(null),26,MALE,WHITE HISPANIC,6.1,190,U,HAZ,BRO
2092,2093,ASSAULT,N,Y,Y,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),30,MALE,BLACK,6,165,THN,BLK,BLK
2093,2094,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,Y,Y,(null),(null),(null),(null),(null),Y,23,MALE,WHITE HISPANIC,5.4,140,THN,BRO,BRO
2094,2095,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),Y,Y,21,MALE,BLACK,5.7,150,MED,BRO,BLK
2095,2096,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,Y,(null),(null),(null),(null),(null),(null),(null),21,MALE,BLACK,5.7,175,THN,BRO,BLK
2096,2097,OTHER,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,(null),MALE,BLACK,5.1,200,MED,BRO,XXX
2097,2098,ROBBERY,Y,N,N,(,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,21,MALE,BLACK,5.6,185,MED,BRO,BLK
2098,2099,ASSAULT,N,N,N,(,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,40,MALE,BLACK,5.1,250,HEA,BRO,BLK
2099,2100,ROBBERY,Y,Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,20,MALE,BLACK,6,160,THN,BLK,BLK
2100,2101,OTHER,Y,Y,N,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,18,MALE,BLACK,5.7,140,MED,BLK,BLK
2101,2102,CPW,N,Y,N,N,N,N,(null),(null),(null),N,Y,(null),(null),(null),(null),Y,(null),(null),14,MALE,BLACK,5.7,140,THN,BRO,BLK
2102,2103,CPW,N,Y,N,N,N,N,(null),(null),(null),N,Y,Y,(null),(null),(null),Y,(null),(null),14,MALE,BLACK,5.2,120,MED,BRO,BLK
2103,2104,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),23,MALE,BLACK,6.2,175,MED,BRO,BLK
2104,2105,OTHER,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),21,MALE,WHITE HISPANIC,5.9,240,MED,BRO,BLD
2105,2106,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,Y,Y,(null),(null),(null),(null),(null),(null),26,MALE,BLACK,5.9,170,THN,BRO,BLK
2106,2107,PETIT LARCENY,Y,Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),30,MALE,BLACK,6,150,THN,BRO,BLK
2107,2108,MENACING,Y,N,Y,N,N,Y,(null),(null),Y,Y,(null),(null),Y,(null),(null),(null),(null),(null),70,MALE,BLACK,5.11,190,MED,BRO,BLD
2108,2109,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,14,MALE,BLACK,5.6,130,THN,BRO,BLK
2109,2110,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),23,MALE,WHITE HISPANIC,6,160,THN,BRO,BRO
2110,2111,CPW,Y,N,Y,N,Y,Y,(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),(null),Y,55,MALE,WHITE HISPANIC,5.11,175,THN,BLK,BLK
2111,2112,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),25,MALE,BLACK,6.3,240,U,BRO,BLK
2112,2113,ASSAULT,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,48,MALE,WHITE HISPANIC,5.7,140,THN,BRO,BLK
2113,2114,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),25,MALE,BLACK,5.9,190,MED,BLK,BRO
2114,2115,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),(null),39,MALE,WHITE,6.1,240,HEA,BLU,BLN
2115,2116,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,13,MALE,BLACK HISPANIC,5.2,90,THN,BRO,BLK
2116,2117,CPW,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),18,MALE,BLACK,5.7,150,MED,BRO,BLK
2117,2118,CPW,N,Y,Y,N,(,N,(null),(null),(null),N,(null),Y,Y,(null),Y,(null),(null),(null),12,MALE,BLACK HISPANIC,5.6,100,THN,BRO,BLK
2118,2119,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,40,MALE,BLACK,6.1,185,THN,BRO,BLK
2119,2120,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),61,MALE,WHITE HISPANIC,5.11,210,MED,BRO,GRY
2120,2121,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,13,MALE,BLACK,5.5,135,THN,ZZZ,BLK
2121,2122,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,11,MALE,WHITE HISPANIC,5.8,140,THN,ZZZ,BRO
2122,2123,BURGLARY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),50,MALE,WHITE HISPANIC,6,190,THN,BRO,GRY
2123,2124,BURGLARY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),55,FEMALE,BLACK,5.2,200,HEA,BRO,BLK
2124,2125,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,58,MALE,BLACK,6.1,130,THN,BRO,BLK
2125,2126,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,59,MALE,BLACK HISPANIC,5.9,180,MED,BRO,BLD
2126,2127,CPW,N,Y,Y,N,(,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),Y,Y,16,MALE,BLACK,5.8,145,THN,BRO,BLK
2127,2128,ROBBERY,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),30,MALE,BLACK,5.1,180,MED,BRO,BRO
2128,2129,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,BLACK,5,110,(null),(null),BRO
2129,2130,ROBBERY,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),20,MALE,BLACK,5.11,165,THN,BRO,BLK
2130,2131,CPW,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,(null),MALE,WHITE HISPANIC,5.9,190,MED,BRO,BRO
2131,2132,CPW,N,Y,N,(,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,40,FEMALE,WHITE HISPANIC,5.4,200,HEA,BRO,BLK
2132,2133,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,BLACK HISPANIC,5.7,170,MED,BLK,BLK
2133,2134,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),15,FEMALE,WHITE HISPANIC,5.3,200,HEA,BRO,BLK
2134,2135,CPW,Y,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),Y,24,MALE,BLACK,5.1,190,MED,BRO,BLK
2135,2136,CPW,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,35,MALE,BLACK HISPANIC,5.9,160,THN,BRO,XXX
2136,2137,GRAND LARCENY,N,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),23,MALE,BLACK,5.9,160,THN,BRO,BRO
2137,2138,CPW,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),24,MALE,BLACK,5.9,120,THN,BRO,BLK
2138,2139,ASSAULT,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,18,MALE,BLACK,5.11,165,THN,BRO,BLK
2139,2140,CPW,N,Y,N,N,(,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),35,MALE,BLACK,6,170,THN,BRO,BRO
2140,2141,OTHER,Y,Y,N,N,(,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),Y,20,MALE,BLACK,5.11,165,THN,BRO,BLK
2141,2142,ASSAULT,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,21,MALE,BLACK,5.11,160,THN,BRO,BLK
2142,2143,CPW,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,24,MALE,BLACK HISPANIC,6.1,215,MED,BRO,BLK
2143,2144,ROBBERY,N,Y,N,N,N,N,(null),Y,(null),Y,(null),Y,Y,(null),(null),(null),(null),(null),25,MALE,BLACK,5.1,170,MED,BRO,BLK
2144,2145,OTHER,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),28,MALE,BLACK,5.8,170,THN,BRO,BLK
2145,2146,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),Y,16,MALE,BLACK,5.9,130,THN,BRO,BLK
2146,2147,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,(null),MALE,BLACK, , ,THN,BRO,BLK
2147,2148,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),29,MALE,BLACK,6,160,THN,BRO,BLK
2148,2149,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,35,MALE,WHITE,5.5,150,THN,BRO,BLK
2149,2150,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,24,MALE,WHITE,5.7,160,MED,BRO,BLK
2150,2151,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,20,MALE,WHITE,5.11,160,THN,BRO,BLK
2151,2152,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),(null),32,MALE,WHITE HISPANIC,5.1,180,THN,BRO,BLK
2152,2153,CPW,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),(null),38,MALE,WHITE,5.9,160,MED,BRO,BLK
2153,2154,OTHER,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,31,MALE,BLACK,5.5,160,MED,BRO,BLK
